 Code , Species ,ICES code,ICES area,Advice,Year, Sea , Choices , ICES advice ,Catches corresponding to advice,Landings corresponding to advice,
 ane.27.9a - 2001 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,900",2001, Atlantic ,, - ,"4,900",,
 ane.27.9a - 2002 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,900",2002, Atlantic ,, - ,"4,900",,
 ane.27.9a - 2003 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,700",2003, Atlantic ,, - ,"4,700",,
 ane.27.9a - 2004 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,700",2004, Atlantic ,, - ,"4,700",,
 ane.27.9a - 2005 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,700",2005, Atlantic ,, - ,"4,700",,
 ane.27.9a - 2006 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,700",2006, Atlantic ,, - ,"4,700",,
 ane.27.9a - 2007 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,800",2007, Atlantic ,, - ,"4,800",,
 ane.27.9a - 2008 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,800",2008, Atlantic ,, - ,"4,800",,
 ane.27.9a - 2009 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,800",2009, Atlantic ,, Same advice as last year ,"4,800",,
 ane.27.9a - 2010 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"4,800",2010, Atlantic ,, Same advice as last year ,"4,800",,
 ane.27.9a - 2011 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2011, Atlantic ,, See scenarios ,-,,
 ane.27.9a - 2012 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2012, Atlantic ,, Reduce catches ,-,,
 ane.27.9a - 2013 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2013, Atlantic ,, Historical fishery appears sustainable ,-,,
 ane.27.9a - 2014 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2014, Atlantic ,, Historical fishery appears sustainable ,-,,
 ane.27.9a - 2015 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2015, Atlantic ,, No catch advice ,-,,
 ane.27.9a - 2016 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),"15,000",2016, Atlantic ,, In-year-advice ,"15,000",,
 ane.27.9a - 2017 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2017, Atlantic ,, No catch advice ,-,,
 ane.27.9a - 2018 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2018, Atlantic ,, No catch advice ,-,,
 ane.27.9a - 2019 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2019, Atlantic , No matching advice , Precautionary approach. Western and Southern components. ,-,,
 ane.27.9a - 2020 , Anchovy ,ane.27.9a,9a (Atlantic Iberian waters),-,2020, Atlantic , No matching advice , Precautionary approach. Western and Southern components. ,-,,
 ane.27.8 - 2001 , Anchovy ,ane.27.8,8 (Bay of Biscay),"18,000",2001, Atlantic ,, Preliminary TAC at recent exploitation ,"18,000",,
 ane.27.8 - 2002 , Anchovy ,ane.27.8,8 (Bay of Biscay),"33,000",2002, Atlantic ,, Preliminary TAC at recent exploitation ,"33,000",,
 ane.27.8 - 2003 , Anchovy ,ane.27.8,8 (Bay of Biscay),"12,500",2003, Atlantic ,, Preliminary TAC at recent exploitation ,"12,500",,
 ane.27.8 - 2004 , Anchovy ,ane.27.8,8 (Bay of Biscay),"11,000",2004, Atlantic ,, Preliminary TAC at recent exploitation ,"11,000",,
 ane.27.8 - 2005 , Anchovy ,ane.27.8,8 (Bay of Biscay),"5,000",2005, Atlantic ,, Rebuidling SSB ,"5,000",,
 ane.27.8 - 2006 , Anchovy ,ane.27.8,8 (Bay of Biscay),0,2006, Atlantic ,, Closure of the fishery ,0,,
 ane.27.8 - 2007 , Anchovy ,ane.27.8,8 (Bay of Biscay),0,2007, Atlantic ,, Closure of the fishery ,0,,
 ane.27.8 - 2008 , Anchovy ,ane.27.8,8 (Bay of Biscay),0,2008, Atlantic ,, Closure of the fishery ,0,,
 ane.27.8 - 2009 , Anchovy ,ane.27.8,8 (Bay of Biscay),0,2009, Atlantic ,, Closure of the fishery ,0,,
 ane.27.8 - 2010 , Anchovy ,ane.27.8,8 (Bay of Biscay),0,2010, Atlantic ,, Closure of the fishery ,0,,
 ane.27.8 - 2011 , Anchovy ,ane.27.8,8 (Bay of Biscay),-,2011, Atlantic ,, Risk of SSB falling below Blim < 5% ,-,,
 ane.27.8 - 2012 , Anchovy ,ane.27.8,8 (Bay of Biscay),"47,000",2012, Atlantic ,, Risk of SSB falling below Blim < 5% ,"47,000",,
 ane.27.8 - 2013 , Anchovy ,ane.27.8,8 (Bay of Biscay),"28,000",2013, Atlantic ,, Risk of SSB falling below Blim < 5% ,"28,000",,
 ane.27.8 - 2014 , Anchovy ,ane.27.8,8 (Bay of Biscay),"18,000",2014, Atlantic ,, Risk of SSB falling below Blim < 5% ,"18,000",,
 ane.27.8 - 2015 , Anchovy ,ane.27.8,8 (Bay of Biscay),"24,022",2015, Atlantic ,, Management plan ,"24,022",,
